,Empirical,Maximum Entropy Prob.,True Prob.
0,0.19,0.1089,0.2224
1,0.192,0.1592,0.1732
2,0.146,0.1703,0.1349
3,0.102,0.1486,0.105
4,0.084,0.1159,0.0818
5,0.062,0.0851,0.0637
6,0.054,0.0615,0.0496
7,0.034,0.0451,0.0386
8,0.028,0.0341,0.0301
9,0.022,0.0261,0.0234
10,0.016,0.019,0.0183
11,0.018,0.0115,0.0142
12,0.012,0.0066,0.0111
13,0.006,0.0036,0.0086
14,0.008,0.002,0.0067
15,0.008,0.0012,0.0052
16,0.008,0.0007,0.0041
17,0.006,0.0004,0.0032
18,0.002,0.0002,0.0025
19,0.0,0.0001,0.0019
20,0.002,0.0,0.0015
