,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.736,0.7041,0.7135,0.7358
1,0.156,0.2273,0.2044,0.174
2,0.084,0.0516,0.0586,0.0617
3,0.02,0.0112,0.0168,0.0186
4,0.002,0.0028,0.0048,0.0054
5,0.002,0.001,0.0014,0.0018
6,0.0,0.0003,0.0004,0.0007
7,0.0,0.0003,0.0001,0.0003
8,0.0,0.0002,0.0,0.0002
9,0.0,0.0001,0.0,0.0001
10,0.0,0.0,0.0,0.0001
11,0.0,0.0001,0.0,0.0001
12,0.0,0.0002,0.0,0.0001
13,0.0,0.0002,0.0,0.0001
14,0.0,0.0003,0.0,0.0001
15,0.0,0.0003,0.0,0.0001
16,0.0,0.0,0.0,0.0001
17,0.0,0.0,0.0,0.0001
18,0.0,0.0,0.0,0.0002
19,0.0,0.0,0.0,0.0002
20,0.0,0.0,0.0,0.0001
