,Skew,0,1,2,3,4
Lambda = 1.25,0,0.680014061159707,0.221989901937718,0.051982440636989,0.036017233989672,0.009996362275915
,1,0.679983385168577,0.222030633561027,0.051967656974442,0.036019313036646,0.009999011259309
,2,0.680002057345156,0.221989106182058,0.052014048215769,0.035993644840049,0.010001143416969
,3,0.680005234967903,0.221997784541255,0.051993598839417,0.036004113531392,0.009999268120033
,4,0.680005039155661,0.22198644467263,0.052017114691333,0.035989053560429,0.010002347919947
Lambda = 0.625,0,0.503989421765001,0.26401118799643,0.143999216043622,0.048002100540512,0.039998073654435
,1,0.503992288696496,0.264010671085525,0.144008750171791,0.047985571119988,0.040002718926199
,2,0.503943132139743,0.264020291043841,0.143984848317003,0.048018879721753,0.04003284877766
,3,0.503987821201394,0.264042941429117,0.143953354023861,0.048020369317884,0.039995514027744
,4,0.504001555469583,0.264002584457873,0.143994723002706,0.048002139068565,0.039998998001273
Lambda = 0.416,0,0.36401458519866,0.295977431431237,0.174002275499875,0.098008017505475,0.067997690364753
,1,0.364000677816073,0.296000795133008,0.173992695050347,0.09800716559459,0.067998666405982
,2,0.363981282234011,0.296024929351119,0.173980098713987,0.098016625199265,0.067997064501617
,3,0.363991642208362,0.296015865083359,0.173989848632037,0.098000490907124,0.068002153169118
,4,0.3639820996976,0.296032460107746,0.17398601750307,0.098005750969054,0.067993671722531
Lambda = 0.3125,0,0.33398929809486,0.268010844994874,0.160000359529282,0.127995408423934,0.110004088957051
,1,0.33401455442489,0.268003141169028,0.159987266018036,0.128005783005967,0.109989255382079
,2,0.333999401664213,0.268006639561898,0.160000673250258,0.127991848578798,0.110001436944833
,3,0.333998976059735,0.267996640227265,0.160010538855081,0.12799299592092,0.110000848936999
,4,0.33400179254707,0.26797458134904,0.160005310441102,0.128022954886096,0.109995360776691
Lambda = 0.25,0,0.308000809264074,0.256001170416139,0.172000111023125,0.161998109364845,0.101999799931818
,1,0.307983468638333,0.255994060862588,0.172016912927478,0.162001792192481,0.10200376537912
,2,0.308024601586354,0.255997178920671,0.172002583398442,0.161976328883986,0.101999307210547
,3,0.308015608420787,0.25597144167863,0.172013997716528,0.162002269336544,0.101996682847511
,4,0.308007781662418,0.255982428946601,0.17201450384709,0.16200054746357,0.101994738080322
